DT-Index;Datum;Zeit;Quotation [Euro/MWh]
03.10.2021 01:45:00;03.10.2021;01:45:00;0,174
03.10.2021 02:00:00;03.10.2021;02:00:00;0,174
03.10.2021 02:15:00;03.10.2021;02:15:00;9,373
03.10.2021 02:30:00;03.10.2021;02:30:00;0,174
03.10.2021 02:45:00;03.10.2021;02:45:00;0,174
03.10.2021 03:00:00;03.10.2021;03:00:00;0,174
03.10.2021 03:15:00;03.10.2021;03:15:00;0,174
03.10.2021 03:30:00;03.10.2021;03:30:00;0,174
03.10.2021 03:45:00;03.10.2021;03:45:00;0,174
03.10.2021 04:00:00;03.10.2021;04:00:00;0,174
03.10.2021 04:15:00;03.10.2021;04:15:00;0,174
03.10.2021 04:30:00;03.10.2021;04:30:00;0,174
03.10.2021 04:45:00;03.10.2021;04:45:00;13,018
03.10.2021 05:00:00;03.10.2021;05:00:00;23,780
03.10.2021 05:15:00;03.10.2021;05:15:00;0,174
03.10.2021 05:30:00;03.10.2021;05:30:00;5,381
03.10.2021 05:45:00;03.10.2021;05:45:00;22,565
03.10.2021 06:00:00;03.10.2021;06:00:00;10,241
03.10.2021 06:15:00;03.10.2021;06:15:00;0,174
03.10.2021 06:30:00;03.10.2021;06:30:00;0,174
03.10.2021 06:45:00;03.10.2021;06:45:00;22,739
03.10.2021 07:00:00;03.10.2021;07:00:00;33,848
03.10.2021 07:15:00;03.10.2021;07:15:00;0,174
03.10.2021 07:30:00;03.10.2021;07:30:00;0,174
03.10.2021 07:45:00;03.10.2021;07:45:00;31,418
03.10.2021 08:00:00;03.10.2021;08:00:00;45,304
03.10.2021 08:15:00;03.10.2021;08:15:00;0,174
03.10.2021 08:30:00;03.10.2021;08:30:00;15,101
03.10.2021 08:45:00;03.10.2021;08:45:00;39,750
03.10.2021 09:00:00;03.10.2021;09:00:00;52,595
03.10.2021 09:15:00;03.10.2021;09:15:00;30,203
03.10.2021 09:30:00;03.10.2021;09:30:00;35,410
03.10.2021 09:45:00;03.10.2021;09:45:00;40,791
03.10.2021 10:00:00;03.10.2021;10:00:00;46,866
03.10.2021 10:15:00;03.10.2021;10:15:00;40,965
03.10.2021 10:30:00;03.10.2021;10:30:00;29,509
03.10.2021 10:45:00;03.10.2021;10:45:00;33,848
03.10.2021 11:00:00;03.10.2021;11:00:00;36,278
