DT-Index;Datum;Zeit;Quotation [Euro/MWh]
03.10.2021 12:30:00;03.10.2021;12:30:00;24,098
03.10.2021 12:45:00;03.10.2021;12:45:00;19,583
03.10.2021 13:00:00;03.10.2021;13:00:00;11,042
03.10.2021 13:15:00;03.10.2021;13:15:00;28,716
03.10.2021 13:30:00;03.10.2021;13:30:00;18,182
03.10.2021 13:45:00;03.10.2021;13:45:00;12,692
03.10.2021 14:00:00;03.10.2021;14:00:00;10,408
03.10.2021 14:15:00;03.10.2021;14:15:00;12,525
03.10.2021 14:30:00;03.10.2021;14:30:00;12,153
03.10.2021 14:45:00;03.10.2021;14:45:00;14,344
03.10.2021 15:00:00;03.10.2021;15:00:00;19,995
03.10.2021 15:15:00;03.10.2021;15:15:00;9,744
03.10.2021 15:30:00;03.10.2021;15:30:00;14,307
03.10.2021 15:45:00;03.10.2021;15:45:00;23,720
03.10.2021 16:00:00;03.10.2021;16:00:00;31,569
03.10.2021 16:15:00;03.10.2021;16:15:00;11,761
03.10.2021 16:30:00;03.10.2021;16:30:00;19,439
03.10.2021 16:45:00;03.10.2021;16:45:00;33,780
03.10.2021 17:00:00;03.10.2021;17:00:00;47,402
03.10.2021 17:15:00;03.10.2021;17:15:00;15,002
03.10.2021 17:30:00;03.10.2021;17:30:00;31,398
03.10.2021 17:45:00;03.10.2021;17:45:00;53,223
03.10.2021 18:00:00;03.10.2021;18:00:00;67,523
03.10.2021 18:15:00;03.10.2021;18:15:00;34,039
03.10.2021 18:30:00;03.10.2021;18:30:00;43,742
03.10.2021 18:45:00;03.10.2021;18:45:00;58,029
03.10.2021 19:00:00;03.10.2021;19:00:00;68,243
03.10.2021 19:15:00;03.10.2021;19:15:00;51,894
03.10.2021 19:30:00;03.10.2021;19:30:00;62,261
03.10.2021 19:45:00;03.10.2021;19:45:00;65,186
03.10.2021 20:00:00;03.10.2021;20:00:00;61,072
03.10.2021 20:15:00;03.10.2021;20:15:00;68,045
03.10.2021 20:30:00;03.10.2021;20:30:00;55,125
03.10.2021 20:45:00;03.10.2021;20:45:00;49,014
